Month,Number
1998-01,0
1998-02,0
1998-03,0
1998-04,0
1998-05,0
1998-06,2
1998-07,71
1998-08,321
1998-09,267
1998-10,83
1998-11,6
1998-12,196
1999-01,3
1999-02,43
1999-03,7
1999-04,2
1999-05,0
1999-06,7
1999-07,11
1999-08,259
1999-09,216
1999-10,479
1999-11,32
1999-12,2
2000-01,7
2000-02,62
2000-03,69
2000-04,18
2000-05,51
2000-06,6
2000-07,39
2000-08,180
2000-09,189
2000-10,145
2000-11,27
2000-12,60
2001-01,3
2001-02,8
2001-03,6
2001-04,1
2001-05,0
2001-06,5
2001-07,9
2001-08,501
2001-09,166
2001-10,332
2001-11,244
2001-12,22
2002-01,17
2002-02,2
2002-03,5
2002-04,2
2002-05,8
2002-06,5
2002-07,146
2002-08,741
2002-09,928
2002-10,695
2002-11,259
2002-12,44
2003-01,158
2003-02,62
2003-03,64
2003-04,11
2003-05,2
2003-06,3
2003-07,180
2003-08,1.867
2003-09,1.401
2003-10,725
2003-11,169
2003-12,147
2004-01,123
2004-02,92
2004-03,6
2004-04,4
2004-05,0
2004-06,12
2004-07,177
2004-08,1.207
2004-09,911
2004-10,710
2004-11,209
2004-12,53
2005-01,44
2005-02,6
2005-03,12
2005-04,5
2005-05,8
2005-06,78
2005-07,676
2005-08,2.316
2005-09,2.812
2005-10,545
2005-11,261
2005-12,17
2006-01,20
2006-02,10
2006-03,20
2006-04,5
2006-05,4
2006-06,9
2006-07,123
2006-08,1.422
2006-09,2.218
2006-10,721
2006-11,59
2006-12,23
2007-01,37
2007-02,92
2007-03,6
2007-04,0
2007-05,0
2007-06,23
2007-07,116
2007-08,2.241
2007-09,1.36
2007-10,215
2007-11,90
2007-12,7
2008-01,16
2008-02,32
2008-03,10
2008-04,13
2008-05,1
2008-06,7
2008-07,108
2008-08,861
2008-09,998
2008-10,632
2008-11,39
2008-12,0
2009-01,9
2009-02,3
2009-03,11
2009-04,1
2009-05,3
2009-06,13
2009-07,199
2009-08,1.321
2009-09,3.091
2009-10,2.189
2009-11,973
2009-12,102
2010-01,82
2010-02,81
2010-03,116
2010-04,11
2010-05,13
2010-06,9
2010-07,640
2010-08,3.727
2010-09,2.781
2010-10,889
2010-11,354
2010-12,123
2011-01,53
2011-02,30
2011-03,49
2011-04,5
2011-05,6
2011-06,22
2011-07,271
2011-08,1.243
2011-09,1.295
2011-10,694
2011-11,399
2011-12,121
2012-01,6
2012-02,25
2012-03,17
2012-04,3
2012-05,12
2012-06,45
2012-07,234
2012-08,3.011
2012-09,2.392
2012-10,1.238
2012-11,682
2012-12,80
2013-01,37
2013-02,16
2013-03,49
2013-04,20
2013-05,19
2013-06,56
2013-07,248
2013-08,1.276
2013-09,1.739
2013-10,1.202
2013-11,220
2013-12,236
2014-01,46
2014-02,49
2014-03,50
2014-04,25
2014-05,12
2014-06,74
2014-07,202
2014-08,3.852
2014-09,3.057
2014-10,952
2014-11,676
2014-12,293
2015-01,35
2015-02,107
2015-03,46
2015-04,24
2015-05,10
2015-06,33
2015-07,356
2015-08,4.564
2015-09,5.882
2015-10,2.494
2015-11,1.054
2015-12,565
2016-01,770
2016-02,275
2016-03,140
2016-04,22
2016-05,30
2016-06,90
2016-07,1.137
2016-08,3.611
2016-09,3.119
2016-10,2.105
2016-11,591
2016-12,133
2017-01,65
2017-02,52
2017-03,45
2017-04,20
2017-05,40
2017-06,119
2017-07,1.975
2017-08,6.316
2017-09,4.033
2017-10,1.581
2017-11,552
